Date	High	Low	Open	Close	Volume	Adj Close
2008-11-28	65.75	65.75	65.75	65.75	200.0	57.50676345825195
2008-12-01	61.75	61.09000015258789	61.09000015258789	61.75	200.0	54.00825881958008
2008-12-02	61.75	61.75	61.75	61.75	0.0	54.00825881958008
2008-12-03	59.0	55.0	57.849998474121094	55.0	300.0	48.10451889038086
2008-12-04	59.75	58.0	58.0	59.0	1000.0	51.603031158447266
2008-12-05	59.95000076293945	56.5	59.0	57.75	400.0	50.50974655151367
2008-12-08	61.75	61.5	61.5	61.75	200.0	54.00825881958008
2008-12-09	61.650001525878906	61.650001525878906	61.650001525878906	61.650001525878906	100.0	53.92079544067383
2008-12-10	66.0	64.25	66.0	65.25	2900.0	57.069454193115234
2008-12-11	67.0	66.25	66.25	67.0	300.0	58.600059509277344
2008-12-12	65.5	65.5	65.5	65.5	100.0	57.28811264038086
2008-12-15	66.25	64.5	66.25	64.5	200.0	56.41348648071289
2008-12-16	64.5	64.5	64.5	64.5	0.0	56.41348648071289
2008-12-17	68.62999725341797	68.62999725341797	68.62999725341797	68.62999725341797	100.0	60.02569580078125
2008-12-18	68.62999725341797	68.62999725341797	68.62999725341797	68.62999725341797	0.0	60.02569580078125
2008-12-19	68.75	68.75	68.75	68.75	200.0	60.13064956665039
2008-12-22	68.75	68.75	68.75	68.75	100.0	60.13064956665039
2008-12-23	72.0	71.30000305175781	72.0	71.30000305175781	100.0	62.36095428466797
2008-12-24	71.30000305175781	71.30000305175781	71.30000305175781	71.30000305175781	0.0	62.36095428466797
2008-12-26	71.30000305175781	71.30000305175781	71.30000305175781	71.30000305175781	0.0	62.36095428466797
2008-12-29	77.0	75.0	75.0	77.0	400.0	67.34632873535156
2008-12-30	82.0	77.25	79.75	79.9000015258789	500.0	69.88275146484375
2008-12-31	80.0	78.05000305175781	78.05000305175781	80.0	100.0	69.97021484375
2009-01-02	79.0	77.75	77.75	78.0999984741211	100.0	68.30841827392578
2009-01-05	74.55000305175781	72.5	74.25	72.5	300.0	63.41050720214844
2009-01-06	72.1500015258789	72.1500015258789	72.1500015258789	72.1500015258789	100.0	63.10438919067383
2009-01-07	75.25	75.25	75.25	75.25	100.0	65.81572723388672
2009-01-08	75.25	75.25	75.25	75.25	0.0	65.81572723388672
2009-01-09	72.3499984741211	72.3499984741211	72.3499984741211	72.3499984741211	200.0	63.279300689697266
2009-01-12	72.3499984741211	72.3499984741211	72.3499984741211	72.3499984741211	0.0	63.279300689697266
2009-01-13	72.3499984741211	72.3499984741211	72.3499984741211	72.3499984741211	0.0	63.279300689697266
2009-01-14	72.3499984741211	72.3499984741211	72.3499984741211	72.3499984741211	0.0	63.279300689697266
2009-01-15	62.849998474121094	60.5	60.5	62.40999984741211	2500.0	54.585514068603516
2009-01-16	61.849998474121094	61.849998474121094	61.849998474121094	61.849998474121094	100.0	54.09571838378906
2009-01-20	58.0	58.0	58.0	58.0	100.0	50.72840118408203
2009-01-21	58.0	55.849998474121094	58.0	55.849998474121094	1300.0	48.847957611083984
2009-01-22	55.95000076293945	54.25	55.95000076293945	54.25	1300.0	47.44854736328125
2009-01-23	57.0	54.75	55.25	57.0	800.0	49.8537712097168
2009-01-26	58.5	57.0	57.0	58.5	200.0	51.165714263916016
2009-01-27	58.5	58.5	58.5	58.5	0.0	51.165714263916016
2009-01-28	61.2400016784668	61.2400016784668	61.2400016784668	61.2400016784668	900.0	53.562198638916016
2009-01-29	58.0	58.0	58.0	58.0	100.0	50.72840118408203
2009-01-30	57.0	57.0	57.0	57.0	200.0	49.8537712097168
2009-02-02	56.0	53.68000030517578	54.25	55.099998474121094	2600.0	48.191986083984375
2009-02-03	53.900001525878906	53.279998779296875	53.900001525878906	53.279998779296875	11300.0	46.600162506103516
2009-02-04	55.0	52.29999923706055	52.29999923706055	54.369998931884766	2500.0	47.553504943847656
2009-02-05	55.0	50.099998474121094	51.79999923706055	55.0	300.0	48.10451889038086
2009-02-06	52.400001525878906	52.099998474121094	52.099998474121094	52.400001525878906	5200.0	45.83049011230469
2009-02-09	56.25	56.25	56.25	56.25	100.0	49.19780731201172
2009-02-10	56.5	55.0	55.0	56.5	400.0	49.41646194458008
2009-02-11	56.5	56.5	56.5	56.5	0.0	49.41646194458008
2009-02-12	56.5	54.25	54.25	56.5	4200.0	49.41646194458008
2009-02-13	53.0	53.0	53.0	53.0	500.0	46.35526657104492
2009-02-17	49.29999923706055	48.0	49.29999923706055	48.0	200.0	41.98212814331055
2009-02-18	47.849998474121094	47.25	47.849998474121094	47.25	900.0	41.3261604309082
2009-02-19	47.25	47.25	47.25	47.25	0.0	41.3261604309082
2009-02-20	43.0	41.75	43.0	42.5	600.0	37.17167282104492
2009-02-23	41.0	38.900001525878906	41.0	38.900001525878906	200.0	34.023014068603516
2009-02-24	37.75	35.75	36.45000076293945	37.04999923706055	1600.0	32.40495300292969
2009-02-25	37.0	36.75	36.75	37.0	300.0	32.36122131347656
2009-02-26	41.439998626708984	40.25	40.25	41.0	400.0	35.85973358154297
2009-02-27	41.959999084472656	41.0	41.5	41.0	5300.0	35.85973358154297
2009-03-02	41.47999954223633	41.25	41.25	41.47999954223633	3100.0	36.27955627441406
2009-03-03	40.75	40.04999923706055	40.75	40.04999923706055	700.0	35.02883529663086
2009-03-04	42.25	42.150001525878906	42.150001525878906	42.25	700.0	36.95301818847656
2009-03-05	41.45000076293945	41.45000076293945	41.45000076293945	41.45000076293945	100.0	36.25331497192383
2009-03-06	40.400001525878906	38.54999923706055	40.400001525878906	38.54999923706055	700.0	33.71689987182617
2009-03-09	37.95000076293945	37.95000076293945	37.95000076293945	37.95000076293945	200.0	33.19211959838867
2009-03-10	44.0	43.150001525878906	43.150001525878906	44.0	300.0	38.483612060546875
2009-03-11	47.25	46.0	46.0	47.25	400.0	41.3261604309082
2009-03-12	51.5	48.5	48.5	51.5	300.0	45.0433235168457
2009-03-13	50.650001525878906	50.650001525878906	50.650001525878906	50.650001525878906	100.0	44.29988479614258
2009-03-16	50.400001525878906	50.099998474121094	50.400001525878906	50.099998474121094	1500.0	43.81884765625
2009-03-17	51.5	51.349998474121094	51.5	51.349998474121094	200.0	44.912132263183594
2009-03-18	51.20000076293945	50.75	50.75	51.20000076293945	100.0	44.78093719482422
2009-03-19	54.70000076293945	54.70000076293945	54.70000076293945	54.70000076293945	100.0	47.84213638305664
